platform,keyword,title,price,rating,asin,image_url,product_url
Amazon,yoga mat,Amazon Basics Extra Thick Exercise Yoga Mat with Carrying Strap,"INR 1,627.81",N/A,B01LP0U5X0,https://m.media-amazon.com/images/I/61WrjbRYC3L._AC_UL320_.jpg,https://www.amazon.com/dp/B01LP0U5X0
Amazon,yoga mat,"Liforme Travel Yoga mat – Patented Alignment System, Warrior-Like Grip, Non-Slip, Eco-Friendly, Ultra-Lightweight and Sweat Resistant, Made with Natural Rubber",N/A,N/A,B0D1VNRFMV,https://m.media-amazon.com/images/I/51DYO18NuoL._AC_UL320_.jpg,https://www.amazon.com/dp/B0D1VNRFMV
Amazon,yoga mat,"Extra Wide & Thick 8mm Yoga Mat, 72""x31.5"" Large Non Slip Exercise Mat, Premium POE Material for Superior Cushioning & Stability, with Strap for Home Gym, Pilates",N/A,N/A,B0DRFCCHWD,https://m.media-amazon.com/images/I/619pSJSXgcL._AC_UL320_.jpg,https://www.amazon.com/dp/B0DRFCCHWD
Amazon,yoga mat,"Stakt The Original Foldable Yoga Mat, Premium Fitness & Multi-Purpose Workout Mat with Non-Slip Surface, Portable & Lightweight for Studio or Home Use, As Seen on Shark Tank",N/A,N/A,B0BHBKG3FV,https://m.media-amazon.com/images/I/41QdcKLkPjL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BHBKG3FV
Amazon,yoga mat,Amazon Basics Extra Thick Exercise Yoga Mat with Carrying Strap,"INR 1,627.81",N/A,B01LP0U5X0,https://m.media-amazon.com/images/I/61WrjbRYC3L._AC_UL320_.jpg,https://www.amazon.com/dp/B01LP0U5X0
