platform,keyword,title,price,rating,asin,image_url,product_url
Amazon,yoga mat,"Gaiam Essentials Thick Yoga Mat Fitness & Exercise Mat with Easy-Cinch Yoga Mat Carrier Strap, 72""L x 24""W x 2/5 Inch Thick",S$34.24,N/A,B07H9KV2YN,https://m.media-amazon.com/images/I/81iQd-KV1EL._AC_UL320_.jpg,https://www.amazon.com/dp/B07H9KV2YN
Amazon,yoga mat,"Gaiam Essentials Premium Yoga Mat with Yoga Mat Carrier Sling (72""L x 24""W x 1/4 Inch Thick)",S$54.40,N/A,B086XLLCM7,https://m.media-amazon.com/images/I/A142QxaXF5L._AC_UL320_.jpg,https://www.amazon.com/dp/B086XLLCM7
Amazon,yoga mat,"Gruper Yoga Mat Non Slip, Eco Friendly Fitness Exercise Mat with Carrying Strap,Pro Yoga Mats for Women,Workout Mats for Home, Pilates and Floor Exercises",S$63.17,N/A,B07JQCVBBZ,https://m.media-amazon.com/images/I/71MQ8weHJOL._AC_UL320_.jpg,https://www.amazon.com/dp/B07JQCVBBZ
Amazon,yoga mat,"'Retrospec Solana Yoga Mat 1/2'' Thick w/Nylon Strap for Men & Women - Non Slip Exercise Mat for Yoga, Pilates, Stretching, Floor & Fitness Workouts'",S$35.58,N/A,B091FZL25K,https://m.media-amazon.com/images/I/61I+rnqoMcL._AC_UL320_.jpg,https://www.amazon.com/dp/B091FZL25K
Amazon,yoga mat,"Adidas Soft Synthetic Rubber Fitness Mat, Exercise Mat,Yoga Mat",N/A,N/A,B078WZ13GP,https://m.media-amazon.com/images/I/61HEsz5keFL._AC_UL320_.jpg,https://www.amazon.com/dp/B078WZ13GP
